설비ID,시각,진동X,진동Y,전류,상태
PRESS-01,2022-07-12 00:00:00.019,0.117,-0.1764,192.3387,0
PRESS-02,2022-07-12 00:08:27.624,0.242,0.1,-51.347,0
PRESS-03,2022-07-12 00:17:19.247,-0.0446,0.0103,109.3448,0
PRESS-04,2022-07-12 00:27:42.343,-0.0462,-0.0126,-89.1011,0
PRESS-05,2022-07-12 00:37:19.526,0.0612,0.2451,215.0735,0
PRESS-06,2022-07-12 00:46:49.858,0.0433,0.2131,-208.6758,0
PRESS-07,2022-07-12 00:57:07.847,0.0282,-0.022,-101.7107,0
PRESS-08,2022-07-12 01:06:58.151,-0.0423,-0.0366,-7.2041,0
PRESS-09,2022-07-12 01:16:55.828,0.0773,0.0883,108.258,0
PRESS-10,2022-07-17 10:51:07.943,0.2937,-0.5406,21.4577,1
PRESS-11,2022-07-17 10:52:40.072,0.1102,-0.1504,-85.8307,1
PRESS-12,2022-07-17 10:53:53.540,-0.0489,-0.0071,195.5033,1
