검사ID,부품명,측정값,기준값,상한치,하한치,검사결과
2197,E2,0.0,5000.0,2310.0,-3750.0,OK
2198,E2,0.0,5000.0,2310.0,-3750.0,OK
2199,E2,0.0,5000.0,2310.0,-3750.0,OK
9001,E2,결측,5000.0,2310.0,-3750.0,OK
2202,F2,0.0,5000.0,2310.0,-3750.0,OK
2203,F2,2939.61,5000.0,2310.0,-3750.0,OK
9002,F2,,300.0,600.0,-450.0,OK
2205,F2,4366.23,150.0,3850.0,-6250.0,OK
2219,B2,3430.02,235.0,3850.0,-6250.0,OK
9003,B2,-999,150.0,300.0,-225.0,OK
2220,B2,2853.44,5000.0,2310.0,-3750.0,OK
2221,B2,0.0,50.0,2310.0,-3750.0,OK
9004,A2,128.5
2212,A2,3199.75,5000.0,2310.0,-3750.0,OK
2225,A2,1410.62,2350.0,2310.0,-3750.0,OK
2231,A2,544.66,2500.0,3850.0,-6250.0,OK
2261,D2,4278.48,7500.0,2310.0,-3750.0,OK
2276,D2,2729.96,5000.0,2310.0,-3750.0,OK
2277,D2,2712.47,5000.0,2310.0,-3750.0,OK
-2,,,,,,OK
-1,,,,,,OK
