공구번호,사이클타임,온도,전류,회전수,토크
43000007,21156,30,15.44,4603,2
43000007,15611,30,18.69,4603,2
43000007,15633,30,62.48,4967,21
43000007,15601,30,18.37,4603,2
43000007,15607,29,18.67,4603,3
43000007,15557,30,14.98,4603,2
43000007,15557,31,18.4,4603,2
43000007,15636,31,62.06,4987,3
43000007,15600,30,18.55,4603,2
43000007,15634,30,64.48,3632,147
43000007,21207,30,18.84,4603,3
43000007,15554,30,24.45,4603,2
43000007,15600,30,18.51,4603,2
43000007,15606,30,19.19,4603,3
43000007,15612,29,18.42,4603,2
43000007,15602,30,18.48,4603,3
43000007,15602,31,19.05,4603,3
43000007,15557,31,18.66,4603,2
43000007,15606,30,18.29,4603,2
43000007,2149,29,18.65,4603,2
43000007,21213,30,21.81,58,5
43000007,15601,30,18.45,4603,3
43000007,15606,30,18.47,4603,3
43000007,15611,30,23.74,1216,1
43000007,15559,29,15.0,4603,2
43000007,15607,30,18.37,4603,2
43000007,15608,31,17.85,1217,1
43000007,15602,31,18.97,4603,3
43000007,15557,30,15.71,4603,2
43000007,2154,29,19.04,4603,3
43000007,15605,30,18.48,4603,2
43000007,15605,30,18.48,4603,2
43000007,15610,30,36.33,1241,9
43000007,15600,29,15.03,4603,2
43000007,15607,29,19.17,4603,3
43000007,15634,30,46.43,3143,146
43000007,15558,31,17.09,4603,2
43000007,15631,31,40.92,4967,21
43000007,15603,30,18.45,4603,3
43000007,2223,30,20.85,4987,3
