설비ID,측정시각,온도,진동,회전수,전류,가동상태
M007,2024-01-01 00:00,84.7,2.69,1589,9.48,정상
M004,2024-01-01 01:00,71.9,3.51,1461,11.09,정상
M008,2024-01-01 02:00,71.5,3.03,1493,13.14,정상
M005,2024-01-01 03:00,,2.8,1494,12.32,정상
M007,2024-01-01 04:00,90.5,2.53,1551,13.3,정상
M010,2024-01-01 05:00,75.6,2.54,1454,10.6,점검필요
M003,2024-01-01 06:00,71.7,1.64,1536,10.69,정상
M007,2024-01-01 07:00,81.9,2.27,1530,12.31,정상
M008,2024-01-01 08:00,80.7,3.03,1430,11.1,정상
M005,2024-01-01 09:00,67.4,2.36,1439,13.95,점검필요
M004,2024-01-01 10:00,132.5,2.53,1435,11.06,정상
M008,2024-01-01 11:00,83.8,1.79,1551,11.26,정상
M008,2024-01-01 12:00,78.4,2.77,1405,12.63,점검필요
M003,2024-01-01 13:00,55.2,1.62,1465,11.42,정상
M006,2024-01-01 14:00,78.9,2.67,1474,10.15,점검필요
M005,2024-01-01 15:00,82.4,2.39,1403,10.35,정상
M002,2024-01-01 16:00,68.3,1.45,1478,12.81,정상
M008,2024-01-01 17:00,80.4,3.14,1533,9.96,정상
M006,2024-01-01 18:00,90.0,2.4,1517,14.1,정상
M002,2024-01-01 19:00,78.2,3.62,1512,10.96,정상
M005,2024-01-01 20:00,70.0,3.39,1493,,정상
M001,2024-01-01 21:00,70.8,1.97,1578,11.05,점검필요
M010,2024-01-01 22:00,75.1,2.02,1461,10.63,정상
M006,2024-01-01 23:00,78.0,1.8,1584,12.37,정상
M009,2024-01-02 00:00,75.5,1.55,1593,13.58,점검필요
M001,2024-01-02 01:00,79.0,2.25,1478,11.63,정상
M010,2024-01-02 02:00,73.8,3.37,1535,11.9,정상
M003,2024-01-02 03:00,76.4,1.35,1425,13.21,정상
M007,2024-01-02 04:00,82.7,3.01,1578,13.26,정상
M004,2024-01-02 05:00,66.5,2.96,1572,11.94,정상
M009,2024-01-02 06:00,75.9,2.83,1443,11.33,정상
M003,2024-01-02 07:00,75.8,2.94,1532,12.12,정상
M005,2024-01-02 08:00,82.4,1.84,1469,11.71,정상
M003,2024-01-02 09:00,73.2,2.96,1553,12.47,정상
M007,2024-01-02 10:00,80.2,2.17,1517,10.21,정상
M005,2024-01-02 11:00,83.8,1.02,1467,12.42,정상
M009,2024-01-02 12:00,60.2,2.53,1418,10.92,정상
M007,2024-01-02 13:00,84.3,1.99,1419,13.36,점검필요
M002,2024-01-02 14:00,67.1,3.32,1512,10.99,점검필요
M004,2024-01-02 15:00,66.2,2.33,1539,11.02,정상
M009,2024-01-02 16:00,52.0,2.53,1446,12.67,정상
M002,2024-01-02 17:00,68.6,2.73,1400,12.02,정상
M010,2024-01-02 18:00,75.0,2.34,1489,15.41,정상
M009,2024-01-02 19:00,71.9,2.44,1541,9.56,점검필요
M010,2024-01-02 20:00,71.3,3.01,1463,12.16,정상
M005,2024-01-02 21:00,66.1,1.86,1437,13.69,정상
M002,2024-01-02 22:00,81.9,2.08,1436,11.13,정상
M004,2024-01-02 23:00,,1.92,1525,10.63,정상
M007,2024-01-03 00:00,78.3,3.36,1538,10.69,정상
M008,2024-01-03 01:00,59.9,2.08,1499,9.58,정상
M003,2024-01-03 02:00,93.2,2.41,1476,14.02,점검필요
M001,2024-01-03 03:00,76.2,2.14,1402,11.51,정상
M004,2024-01-03 04:00,79.3,2.32,1560,11.33,점검필요
M002,2024-01-03 05:00,63.0,2.06,1533,8.81,점검필요
M008,2024-01-03 06:00,74.9,2.78,1577,9.85,점검필요
M004,2024-01-03 07:00,78.3,9.8,1409,14.2,정상
M002,2024-01-03 08:00,73.9,1.69,1404,12.45,정상
M006,2024-01-03 09:00,82.0,2.16,1550,13.75,정상
M006,2024-01-03 10:00,85.4,2.02,1537,13.56,정상
M010,2024-01-03 11:00,64.3,1.7,1571,10.5,정상
M004,2024-01-03 12:00,81.8,2.31,1529,15.64,정상
M006,2024-01-03 13:00,78.2,1.5,1412,14.92,정상
M002,2024-01-03 14:00,75.0,3.54,1567,11.15,점검필요
M010,2024-01-03 15:00,62.4,1.6,1529,6.65,정상
M002,2024-01-03 16:00,86.8,2.11,1483,11.47,정상
M010,2024-01-03 17:00,78.2,2.26,1464,12.36,정상
M004,2024-01-03 18:00,60.7,3.51,1462,11.15,정상
M008,2024-01-03 19:00,73.1,1.46,1500,11.67,정상
M007,2024-01-03 20:00,77.6,2.59,1472,10.76,정상
M009,2024-01-03 21:00,79.1,3.12,1416,13.38,정상
M008,2024-01-03 22:00,74.0,2.31,1408,12.1,점검필요
M005,2024-01-03 23:00,77.7,1.8,1542,13.43,정상
M002,2024-01-04 00:00,92.0,2.44,1551,13.83,정상
M005,2024-01-04 01:00,87.4,3.42,1437,8.74,점검필요
M008,2024-01-04 02:00,67.4,2.13,1562,10.84,정상
M010,2024-01-04 03:00,70.2,3.36,1493,11.06,정상
M009,2024-01-04 04:00,74.1,2.66,1494,15.86,정상
M009,2024-01-04 05:00,61.0,3.24,1448,12.22,정상
M001,2024-01-04 06:00,64.3,2.63,1468,13.22,점검필요
M009,2024-01-04 07:00,62.0,2.21,1461,9.18,정상
M007,2024-01-04 08:00,65.8,3.48,1587,12.21,정상
M009,2024-01-04 09:00,86.1,2.64,1577,13.47,정상
M008,2024-01-04 10:00,68.2,2.6,1477,13.29,정상
M001,2024-01-04 11:00,66.8,2.98,1516,12.94,정상
M008,2024-01-04 12:00,82.1,3.05,1519,12.02,정상
M008,2024-01-04 13:00,71.4,2.99,1536,12.09,정상
