측정시각;압축압력;배출압력;저장압력;오일온도;모터전류;가동상태
2020-02-27 06:38:47;9.3;-0.02;9.3;51.3;6.04;가동
2020-02-27 07:28:21;8.55;-0.02;8.55;56.8;0.04;정지
2020-02-27 08:17:54;8.67;-0.02;8.67;55.7;0.03;정지
2020-02-27 09:07:27;9.76;-0.02;9.76;;3.81;가동
2020-02-27 09:57:01;8.49;-0.02;8.49;55.3;0.04;정지
2020-02-27 10:46:34;8.93;-0.02;8.93;57.1;0.04;정지
2020-02-27 11:36:07;9.96;-0.02;9.96;56.6;3.75;가동
2020-02-27 12:25:41;8.39;-0.02;8.4;56.6;0.04;정지
2020-02-27 13:15:15;8.47;-0.02;8.47;57.2;0.03;정지
2020-02-27 14:04:48;9.71;-0.02;9.71;57.4;6.07;가동
2020-02-27 14:54:22;8.64;-0.01;8.65;57.7;0.03;정지
2020-02-27 15:43:55;9.58;-0.02;9.58;57.2;3.73;가동
2020-02-27 16:33:29;8.57;-0.02;8.57;58.9;0.04;정지
2020-02-27 17:23:02;8.25;-0.02;8.25;57.6;5.86;가동
2020-02-27 18:12:37;9.32;-0.02;9.32;59.6;3.75;가동
2020-02-27 19:02:11;8.31;-0.02;8.31;55.4;0.04;정지
2020-02-27 19:51:45;8.34;-0.02;8.34;56.0;0.04;정지
2020-02-27 20:41:19;8.85;-0.02;8.85;56.0;0.04;정지
2020-02-27 21:30:54;9.93;-0.02;9.93;53.6;3.83;가동
2020-02-27 23:02:04;8.13;-0.02;8.13;50.1;0.04;정지
2020-02-27 23:51:38;9.21;-0.02;9.21;53.3;0.04;정지
2020-02-28 00:41:13;8.22;-0.02;8.22;51.2;0.04;정지
2020-02-28 01:30:48;9.25;-0.02;9.25;52.0;0.04;정지
2020-02-28 02:20:21;8.4;-0.02;8.4;50.4;0.04;정지
2020-02-28 03:09:54;9.47;-0.02;9.47;51.0;0.04;정지
2020-02-28 03:59:28;8.6;-0.02;8.6;51.0;0.04;정지
2020-02-28 04:49:02;9.77;-0.02;9.77;50.5;3.84;가동
2020-02-28 05:38:37;8.42;-0.02;8.42;51.8;0.04;정지
2020-02-28 06:28:10;8.62;-0.02;8.62;53.7;0.04;정지
2020-02-28 07:17:45;8.75;-0.02;8.75;54.6;0.04;정지
2020-02-28 08:07:18;9.51;-0.02;9.51;57.9;3.71;가동
2020-02-28 08:56:53;8.33;-0.02;8.33;55.3;0.04;정지
2020-02-28 09:46:27;8.72;-0.02;8.73;56.8;0.04;정지
2020-02-28 10:36:00;9.16;-0.02;9.16;57.1;0.04;정지
2020-02-28 11:25:34;9.57;-0.02;9.57;57.6;3.78;가동
2020-02-28 12:15:08;8.32;-0.02;8.32;56.7;0.04;정지
2020-02-28 13:04:42;9.01;-0.02;9.02;57.5;0.04;정지
2020-02-28 13:54:16;8.49;-0.02;8.49;57.8;0.04;정지
2020-02-28 14:43:52;8.89;-0.02;8.9;58.5;0.04;정지
2020-02-28 15:33:25;8.18;-0.02;8.19;58.1;0.04;정지
2020-02-28 16:22:59;8.61;-0.02;8.61;56.9;0.04;정지
2020-02-28 17:12:32;9.34;-0.02;9.34;58.6;0.03;정지
2020-02-28 18:02:05;8.86;-0.02;8.86;58.5;0.04;정지
2020-02-28 18:51:39;8.8;-0.02;8.8;56.6;3.73;가동
2020-02-28 19:41:13;8.96;-0.02;8.96;57.4;0.04;정지
2020-02-28 20:30:46;8.18;-0.02;8.18;53.8;0.04;정지
2020-02-28 21:20:20;8.84;-0.02;8.84;55.5;0.04;정지
2020-02-28 22:09:55;9.39;-0.02;9.39;55.0;0.05;정지
2020-02-28 22:59:29;9.54;-0.02;9.53;53.2;6.05;가동
2020-02-28 23:49:02;8.49;-0.02;8.49;54.3;0.04;정지
2020-03-01 04:41:27;9.35;-0.03;9.35;66.3;3.79;가동
2020-03-01 05:31:01;8.2;-0.03;8.2;57.6;0.04;정지
2020-03-01 06:20:35;9.34;-0.02;9.34;66.6;3.87;가동
2020-03-01 07:10:09;8.2;-0.02;8.2;58.1;0.04;정지
2020-03-01 07:59:43;9.36;-0.03;9.35;66.9;3.86;가동
2020-03-01 08:49:17;8.21;-0.02;8.21;58.1;0.04;정지
2020-03-01 09:38:50;9.42;-0.02;9.42;67.2;3.83;가동
