측정시각,압축기,타워,저압스위치
2020-02-27 06:38:47,0,0,0
2020-02-27 07:28:21,1,1,0
2020-02-27 08:17:54,1,1,0
2020-02-27 09:07:27,1,1,0
2020-02-27 09:57:01,1,1,0
2020-02-27 10:46:34,1,1,0
2020-02-27 11:36:07,1,1,0
2020-02-27 12:25:41,1,1,0
2020-02-27 13:15:15,1,1,0
2020-02-27 14:04:48,0,1,0
2020-02-27 14:54:22,1,1,0
2020-02-27 15:43:55,1,1,0
2020-02-27 16:33:29,1,1,0
2020-02-27 17:23:02,0,0,0
2020-02-27 18:12:37,1,1,0
2020-02-27 19:02:11,1,1,0
2020-02-27 19:51:45,1,1,0
2020-02-27 20:41:19,1,1,0
2020-02-27 21:30:54,1,1,0
2020-02-27 23:02:04,1,1,0
2020-02-27 23:51:38,1,1,0
2020-02-28 00:41:13,1,1,0
2020-02-28 01:30:48,1,1,0
2020-02-28 02:20:21,1,1,0
2020-02-28 03:09:54,1,1,0
2020-02-28 03:59:28,1,1,0
2020-02-28 04:49:02,1,1,0
2020-02-28 05:38:37,1,1,0
2020-02-28 06:28:10,1,1,0
2020-02-28 07:17:45,1,1,0
2020-02-28 08:07:18,1,1,0
2020-02-28 08:56:53,1,1,0
2020-02-28 09:46:27,1,1,0
2020-02-28 10:36:00,1,1,0
2020-02-28 11:25:34,1,1,0
2020-02-28 12:15:08,1,1,0
2020-02-28 13:04:42,1,1,0
2020-02-28 13:54:16,1,1,0
2020-02-28 14:43:52,1,1,0
2020-02-28 15:33:25,1,1,0
2020-02-28 16:22:59,1,1,0
2020-02-28 17:12:32,1,1,0
2020-02-28 18:02:05,1,1,0
2020-02-28 18:51:39,1,1,0
2020-02-28 19:41:13,1,1,0
2020-02-28 20:30:46,1,1,0
2020-02-28 21:20:20,1,1,0
2020-02-28 22:09:55,1,1,0
2020-02-28 22:59:29,0,0,0
2020-02-28 23:49:02,1,1,0
2020-03-01 04:41:27,1,1,0
2020-03-01 05:31:01,1,1,0
2020-03-01 06:20:35,1,1,0
2020-03-01 07:10:09,1,1,0
2020-03-01 07:59:43,1,1,0
2020-03-01 08:49:17,1,1,0
2020-03-01 09:38:50,1,1,0
2020-03-01 10:28:24,1,1,0
2020-03-01 11:17:59,1,1,0
2020-03-01 12:07:34,1,1,0
2020-03-01 12:57:07,1,1,0
2020-03-01 13:46:41,1,1,0
2020-03-01 14:36:14,1,1,0
2020-03-01 15:25:48,0,0,0
2020-03-01 16:15:22,1,1,0
2020-03-01 17:04:56,1,1,0
2020-03-01 17:54:29,1,1,0
2020-03-01 18:44:03,1,1,0
2020-03-01 19:33:38,1,1,0
2020-03-01 20:23:11,1,1,0
2020-03-01 21:12:45,1,1,0
2020-03-01 22:02:18,1,1,0
2020-03-01 22:51:51,1,1,0
2020-03-01 23:41:25,1,1,0
2020-03-02 00:30:59,1,1,0
2020-03-02 01:20:33,1,1,0
2020-03-02 02:10:07,1,1,0
2020-03-02 02:59:41,1,1,0
2020-03-02 03:49:15,1,1,0
2020-03-02 04:38:48,1,1,0
2020-03-02 05:28:22,1,1,0
2020-03-02 06:17:56,1,1,0
2020-03-02 07:07:31,1,1,0
2020-03-02 07:57:05,1,1,0
2020-03-02 08:46:41,1,1,0
2020-03-02 09:36:15,1,1,0
2020-03-02 10:25:49,1,1,0
2020-03-02 11:15:22,0,0,0
2020-03-02 12:04:55,0,0,0
2020-03-02 12:54:28,1,1,0
2020-03-02 13:44:02,1,1,0
2020-03-02 14:33:35,1,1,0
2020-03-02 15:23:09,1,1,0
2020-03-02 16:12:44,1,1,0
2020-03-02 17:02:17,1,1,0
2020-03-02 17:51:50,1,1,0
2020-03-02 18:41:24,1,1,0
2020-03-02 19:30:58,1,1,0
2020-03-02 20:20:33,1,1,0
2020-03-03 03:11:06,1,1,0
2020-03-03 04:02:39,1,1,0
2020-03-03 04:52:15,1,1,0
2020-03-03 05:41:49,1,1,0
2020-03-03 06:31:23,0,0,0
2020-03-03 07:20:57,1,1,0
2020-03-03 08:10:31,0,1,0
2020-03-03 09:00:05,1,1,0
2020-03-03 09:49:38,0,1,0
2020-03-03 11:47:23,1,1,0
2020-03-03 12:36:57,1,1,0
2020-03-03 13:26:30,1,1,0
2020-03-03 14:16:03,1,1,0
2020-03-03 15:05:36,1,1,0
2020-03-03 15:55:09,0,0,0
2020-03-03 16:44:43,1,1,0
2020-03-03 17:34:17,1,1,0
2020-03-03 18:23:51,1,1,0
2020-03-03 19:13:25,1,1,0
2020-03-03 20:02:59,1,1,0
2020-03-03 20:52:32,1,1,0
