측정시각,압축압력,배출압력,저장압력,오일온도,모터전류,가동상태
2020-02-27 06:38:47,9.3,-0.02,9.3,51.3,6.04,가동
2020-02-27 07:28:21,8.55,-0.02,8.55,56.8,0.04,정지
2020-02-27 08:17:54,8.67,-0.02,8.67,55.7,0.03,정지
2020-02-27 09:07:27,9.76,-0.02,9.76,,3.81,가동
2020-02-27 09:57:01,8.49,-0.02,8.49,55.3,0.04,정지
2020-02-27 10:46:34,8.93,-0.02,8.93,57.1,0.04,정지
2020-02-27 11:36:07,9.96,-0.02,9.96,56.6,3.75,가동
2020-02-27 12:25:41,8.39,-0.02,8.4,56.6,0.04,정지
2020-02-27 13:15:15,8.47,-0.02,8.47,57.2,0.03,정지
2020-02-27 14:04:48,9.71,-0.02,9.71,57.4,6.07,가동
2020-02-27 14:54:22,8.64,-0.01,8.65,57.7,0.03,정지
2020-02-27 15:43:55,9.58,-0.02,9.58,57.2,3.73,가동
2020-02-27 16:33:29,8.57,-0.02,8.57,58.9,0.04,정지
2020-02-27 17:23:02,8.25,-0.02,8.25,57.6,5.86,가동
2020-02-27 18:12:37,9.32,-0.02,9.32,59.6,3.75,가동
2020-02-27 19:02:11,8.31,-0.02,8.31,55.4,0.04,정지
2020-02-27 19:51:45,8.34,-0.02,8.34,56.0,0.04,정지
2020-02-27 20:41:19,8.85,-0.02,8.85,56.0,0.04,정지
2020-02-27 21:30:54,9.93,-0.02,9.93,53.6,3.83,가동
2020-02-27 23:02:04,8.13,-0.02,8.13,50.1,0.04,정지
2020-02-27 23:51:38,9.21,-0.02,9.21,53.3,0.04,정지
2020-02-28 00:41:13,8.22,-0.02,8.22,51.2,0.04,정지
2020-02-28 01:30:48,9.25,-0.02,9.25,52.0,0.04,정지
2020-02-28 02:20:21,8.4,-0.02,8.4,50.4,0.04,정지
2020-02-28 03:09:54,9.47,-0.02,9.47,51.0,0.04,정지
2020-02-28 03:59:28,8.6,-0.02,8.6,51.0,0.04,정지
2020-02-28 04:49:02,9.77,-0.02,9.77,50.5,3.84,가동
2020-02-28 05:38:37,8.42,-0.02,8.42,51.8,0.04,정지
2020-02-28 06:28:10,8.62,-0.02,8.62,53.7,0.04,정지
2020-02-28 07:17:45,8.75,-0.02,8.75,54.6,0.04,정지
