샷,실린더압력,주조압력,사이클타임,비스킷두께,형체력,품질등급
1,214.0,1037.0,20.7,10.0,258.0,양품
2,217.0,1052.0,20.7,11.0,257.0,양품
3,214.0,1037.0,20.8,11.0,254.0,양품
4,217.0,1052.0,20.6,11.0,253.0,양품
5,217.0,1052.0,20.6,11.0,254.0,양품
6,217.0,1052.0,20.6,11.0,257.0,양품
7,215.0,1038.0,20.9,11.0,250.0,양품
8,215.0,1038.0,20.9,11.0,258.0,양품
9,215.0,1039.0,20.9,11.0,258.0,양품
10,218.0,1053.0,20.8,12.0,257.0,양품
11,218.0,1054.0,21.0,11.0,258.0,양품
12,214.0,1038.0,20.8,11.0,257.0,양품
13,214.0,1037.0,20.8,11.0,257.0,양품
14,218.0,1053.0,20.9,11.0,257.0,양품
15,214.0,1037.0,20.8,12.0,255.0,양품
16,218.0,1055.0,20.9,11.0,255.0,양품
17,217.0,1051.0,20.9,12.0,257.0,양품
18,218.0,1055.0,20.7,11.0,255.0,양품
19,217.0,1051.0,20.9,11.0,257.0,양품
20,214.0,1037.0,20.8,12.0,257.0,양품
21,217.0,1052.0,20.9,12.0,257.0,양품
22,214.0,1038.0,20.7,12.0,255.0,양품
23,216.0,1046.0,20.8,11.0,257.0,양품
24,214.0,1038.0,20.7,12.0,257.0,양품
25,214.0,1037.0,20.7,11.0,257.0,양품
26,218.0,1053.0,20.8,11.0,257.0,양품
27,215.0,1039.0,20.8,11.0,257.0,양품
28,218.0,1054.0,20.8,12.0,254.0,양품
29,215.0,1040.0,20.9,12.0,258.0,양품
30,214.0,1037.0,20.8,12.0,258.0,양품
31,218.0,1055.0,20.8,12.0,258.0,양품
32,214.0,1037.0,20.9,13.0,258.0,양품
33,218.0,1055.0,20.8,12.0,257.0,양품
34,215.0,1038.0,20.9,12.0,257.0,양품
35,215.0,1040.0,20.9,12.0,257.0,양품
36,217.0,1052.0,20.8,11.0,255.0,양품
37,218.0,1055.0,20.9,12.0,257.0,양품
38,218.0,1053.0,20.8,12.0,258.0,양품
39,215.0,1040.0,20.9,11.0,257.0,양품
40,218.0,1053.0,20.8,11.0,255.0,양품
41,218.0,1055.0,21.0,11.0,257.0,양품
42,215.0,1040.0,20.9,11.0,254.0,양품
43,215.0,1040.0,20.7,21.0,253.0,주의
44,214.0,1036.0,21.0,10.0,259.0,양품
45,214.0,1037.0,20.7,11.0,251.0,양품
46,217.0,1052.0,20.7,11.0,261.0,양품
47,214.0,1036.0,20.7,11.0,257.0,양품
48,214.0,1036.0,20.7,11.0,253.0,양품
49,217.0,1052.0,20.8,12.0,255.0,양품
50,214.0,1038.0,20.7,11.0,259.0,양품
51,217.0,1051.0,20.8,11.0,258.0,양품
52,214.0,1036.0,20.8,11.0,257.0,양품
53,217.0,1051.0,20.7,11.0,258.0,양품
54,217.0,1051.0,20.7,11.0,255.0,양품
55,218.0,1053.0,20.7,11.0,255.0,양품
56,217.0,1052.0,20.7,11.0,257.0,양품
57,217.0,1052.0,20.7,11.0,258.0,양품
58,214.0,1037.0,20.8,11.0,258.0,양품
59,218.0,1053.0,20.8,11.0,253.0,양품
60,218.0,1053.0,20.7,11.0,253.0,양품
61,214.0,1037.0,20.6,11.0,254.0,양품
62,216.0,1048.0,20.8,11.0,254.0,양품
63,218.0,1053.0,20.6,12.0,254.0,양품
64,215.0,1040.0,20.6,11.0,254.0,양품
65,218.0,1054.0,20.7,12.0,253.0,양품
66,214.0,1038.0,20.7,10.0,253.0,양품
67,218.0,1054.0,21.2,12.0,257.0,양품
68,215.0,1040.0,21.1,17.0,257.0,양품
69,218.0,1054.0,21.2,12.0,254.0,양품
70,214.0,1038.0,21.0,11.0,254.0,양품
71,214.0,1038.0,21.2,12.0,254.0,양품
72,214.0,1038.0,21.1,12.0,253.0,양품
73,218.0,1057.0,21.2,13.0,257.0,양품
74,218.0,1055.0,21.3,12.0,258.0,양품
75,215.0,1041.0,21.2,13.0,258.0,양품
76,218.0,1055.0,21.1,13.0,259.0,양품
77,218.0,1057.0,21.0,13.0,259.0,양품
78,215.0,1041.0,21.0,12.0,253.0,양품
79,218.0,1057.0,21.4,13.0,257.0,양품
80,218.0,1054.0,21.3,14.0,253.0,양품
81,218.0,1057.0,21.2,14.0,255.0,양품
82,218.0,1056.0,21.3,13.0,255.0,양품
83,216.0,1045.0,21.5,12.0,258.0,양품
84,214.0,1038.0,21.2,12.0,258.0,양품
85,239.0,1156.0,22.6,12.0,255.0,양품
86,235.0,1135.0,22.6,11.0,254.0,양품
87,239.0,1154.0,22.6,10.0,258.0,양품
88,239.0,1157.0,22.7,11.0,253.0,양품
89,235.0,1137.0,22.7,13.0,261.0,양품
90,235.0,1137.0,22.5,7.0,255.0,주의
91,239.0,1155.0,22.7,13.0,259.0,양품
92,239.0,1155.0,22.5,13.0,250.0,양품
93,235.0,1136.0,22.7,14.0,255.0,양품
94,239.0,1158.0,22.8,15.0,257.0,양품
95,,,,,,양품
96,,,,,,양품
97,,,,,,양품
98,,,,,,양품
99,,,,,,양품
100,,,,,,양품
101,,,,,,양품
102,,,,,,양품
103,,,,,,양품
104,,,,,,양품
105,,,,,,양품
106,239.0,1159.0,22.7,14.0,254.0,양품
107,239.0,1155.0,20.7,13.0,254.0,양품
108,239.0,1157.0,23.7,13.0,253.0,양품
109,264.0,594.0,36.4,18.0,363.0,양품
110,265.0,596.0,36.6,17.0,352.0,양품
111,264.0,595.0,37.0,18.0,361.0,양품
112,265.0,595.0,36.9,17.0,355.0,양품
113,264.0,594.0,33.9,16.0,363.0,양품
114,264.0,594.0,34.0,13.0,355.0,양품
115,265.0,596.0,34.1,16.0,357.0,양품
116,265.0,595.0,34.0,17.0,355.0,양품
117,264.0,595.0,34.0,17.0,355.0,양품
118,264.0,595.0,33.9,16.0,355.0,양품
119,264.0,595.0,33.9,17.0,357.0,양품
120,264.0,594.0,33.9,18.0,357.0,양품
121,265.0,596.0,33.9,19.0,354.0,주의
122,264.0,595.0,33.7,15.0,364.0,양품
123,265.0,596.0,33.7,19.0,357.0,주의
124,265.0,595.0,33.9,19.0,359.0,주의
125,265.0,595.0,33.8,19.0,355.0,주의
126,264.0,595.0,33.8,18.0,350.0,양품
127,263.0,591.0,33.9,13.0,361.0,양품
128,265.0,595.0,34.0,17.0,366.0,양품
129,263.0,592.0,34.0,18.0,363.0,양품
130,265.0,596.0,33.9,16.0,368.0,양품
131,265.0,596.0,34.0,14.0,361.0,양품
132,265.0,596.0,33.9,15.0,372.0,양품
133,265.0,596.0,35.0,19.0,373.0,주의
134,263.0,593.0,36.2,15.0,372.0,양품
135,265.0,597.0,36.1,18.0,372.0,양품
136,265.0,595.0,36.0,19.0,377.0,주의
137,265.0,596.0,36.0,17.0,375.0,양품
138,265.0,595.0,35.9,17.0,375.0,양품
139,265.0,596.0,36.0,17.0,377.0,양품
140,265.0,595.0,36.0,15.0,377.0,양품
141,265.0,596.0,36.0,16.0,377.0,양품
142,265.0,596.0,35.9,17.0,381.0,양품
143,265.0,595.0,36.0,17.0,381.0,양품
144,265.0,596.0,36.0,18.0,377.0,양품
145,265.0,596.0,36.1,13.0,377.0,양품
146,265.0,597.0,36.0,17.0,377.0,양품
147,263.0,592.0,125.9,19.0,372.0,주의
148,265.0,596.0,36.0,17.0,375.0,양품
149,265.0,596.0,36.0,19.0,377.0,주의
150,265.0,596.0,36.1,19.0,350.0,주의
151,265.0,596.0,36.0,17.0,373.0,양품
152,265.0,595.0,35.9,19.0,381.0,주의
153,265.0,595.0,36.0,19.0,352.0,주의
154,265.0,596.0,36.0,18.0,363.0,양품
155,265.0,595.0,35.8,19.0,363.0,주의
156,265.0,596.0,35.7,19.0,364.0,주의
157,265.0,595.0,35.9,16.0,352.0,양품
158,264.0,594.0,35.6,16.0,373.0,양품
159,265.0,597.0,35.8,16.0,377.0,양품
160,264.0,595.0,35.8,18.0,381.0,양품
161,265.0,595.0,35.8,18.0,381.0,양품
162,265.0,596.0,36.0,17.0,381.0,양품
163,264.0,595.0,36.0,17.0,382.0,양품
164,265.0,595.0,35.8,19.0,379.0,주의
165,265.0,596.0,35.8,18.0,379.0,양품
166,265.0,596.0,35.7,18.0,379.0,양품
167,264.0,595.0,35.9,18.0,382.0,양품
168,265.0,596.0,36.0,19.0,379.0,주의
169,265.0,596.0,36.1,18.0,382.0,양품
170,265.0,596.0,36.1,18.0,382.0,양품
171,265.0,596.0,36.1,20.0,370.0,주의
172,265.0,595.0,36.1,17.0,384.0,양품
173,265.0,595.0,36.1,17.0,366.0,양품
174,265.0,596.0,36.1,17.0,357.0,양품
175,265.0,595.0,36.0,18.0,357.0,양품
176,265.0,596.0,36.0,17.0,359.0,양품
177,264.0,595.0,36.0,17.0,361.0,양품
178,264.0,595.0,36.0,17.0,355.0,양품
179,265.0,595.0,36.1,16.0,372.0,양품
180,265.0,596.0,36.2,18.0,382.0,양품
181,108.0,522.0,652.3,14.0,222.0,불량
182,214.0,1036.0,93.1,12.0,247.0,불량
183,215.0,1041.0,21.3,4.0,258.0,불량
184,216.0,1044.0,21.2,11.0,259.0,불량
185,219.0,1058.0,21.3,2.0,255.0,불량
186,218.0,1054.0,21.4,2.0,253.0,불량
187,108.0,524.0,22.9,14.0,247.0,불량
188,,,,,,불량
189,,,,,,불량
190,,,,,,불량
191,238.0,1152.0,91.2,13.0,254.0,불량
192,113.0,255.0,36.9,26.0,366.0,불량
193,264.0,594.0,36.9,19.0,355.0,불량
194,113.0,255.0,34.4,19.0,370.0,불량
195,260.0,585.0,33.9,19.0,348.0,불량
196,264.0,594.0,76.3,19.0,381.0,불량
197,265.0,595.0,36.2,20.0,355.0,불량
